id_inst;nombre_inst;id_depa;nombre_depa;id_muni;nombre_muni;telefono
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3165000
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;Antioquia;Antioquia;5001;Medellín;4309000
1103;UNIVERSIDAD NACIONAL DE COLOMBIA;Caldas;Caldas;17001;Manizales;8879300
1104;UNIVERSIDAD NACIONAL DE COLOMBIA;Valle del Cauca;Valle del Cauca;76520;Palmira;2868888
1105;UNIVERSIDAD PEDAGOGICA NACIONAL;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3471190
1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Boyacá;Boyacá;15001;Tunja;7422175
1107;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Boyacá;Boyacá;15238;Duitama;604100
1108;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Boyacá;Boyacá;15759;Sogamoso;701693
1109;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Boyacá;Boyacá;15176;Chiquinquirá;262598
1110;UNIVERSIDAD DEL CAUCA;Cauca;Cauca;19001;Popayán;8209900
1111;UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;Risaralda;Risaralda;66001;Pereira;3215693
1112;UNIVERSIDAD DE CALDAS;Caldas;Caldas;17001;Manizales;8861250
1113;UNIVERSIDAD DE CORDOBA;Córdoba;Córdoba;23001;Montería;7860300
1114;UNIVERSIDAD SURCOLOMBIANA;Huila;Huila;41001;Neiva;8754753
1115;UNIVERSIDAD DE LA AMAZONIA;Caquetá;Caquetá;18001;Florencia;4352905
1117;UNIVERSIDAD MILITAR-NUEVA GRANADA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;2159689
1118;UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA;Chocó;Chocó;27001;Quibdó;6710237
1119;UNIVERSIDAD DE LOS LLANOS;Meta;Meta;50001;Villavicencio;6616800
1120;UNIVERSIDAD POPULAR DEL CESAR;Cesar;Cesar;20001;Valledupar;5843517
1121;UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;2418800
1122;UNIVERSIDAD DEL PACIFICO;Valle del Cauca;Valle del Cauca;76109;Buenaventura;2449675
1123;UNIVERSIDAD POPULAR DEL CESAR;Cesar;Cesar;20011;Aguachica;5654900
1124;UNIVERSIDAD NACIONAL DE COLOMBIA;Arauca;Arauca;81001;Arauca;8853004
1125;UNIVERSIDAD NACIONAL DE COLOMBIA;Amazonas;Amazonas;91001;Leticia;5927254
1126;UNIVERSIDAD NACIONAL DE COLOMBIA;Archipiélago de San Andrés Providencia y Santa Catalina;Archipiélago de San Andrés Providencia y Santa Catalina;88001;San Andrés;5133310
1201;UNIVERSIDAD DE ANTIOQUIA;Antioquia;Antioquia;5001;Medellín;2128332
